Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1036818634763644928.txt,1,24,93.26,50.00,7.84,1.00,12.00,20.83,62.50,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,12.50,12.50,0.00,4.17,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,4.17,8.33,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,37.50,20.83,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
1036831992984158208.txt,1,23,88.21,33.19,54.89,1.00,11.50,17.39,56.52,21.74,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,4.35,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,13.04,0.00,13.04,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,17.39,0.00,13.04,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,30.43,13.04,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70
1036871508960989184.txt,1,24,96.33,79.76,1.00,99.00,12.00,20.83,50.00,20.83,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,8.33,4.17,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,4.17,8.33,8.33,0.00,0.00,8.33,0.00,4.17,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,37.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50
1036960348295716864.txt,1,27,96.08,35.54,33.94,25.77,27.00,11.11,37.04,25.93,7.41,3.70,3.70,0.00,0.00,0.00,0.00,3.70,0.00,14.81,3.70,0.00,0.00,0.00,7.41,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,0.00,7.41,0.00,14.81,0.00,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,25.93,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,14.81
1036979607197470721.txt,1,23,96.43,90.38,9.25,93.61,11.50,34.78,56.52,26.09,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,13.04,4.35,4.35,0.00,0.00,8.70,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,4.35,0.00,4.35,4.35,0.00,17.39,4.35,13.04,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70
1037346725608869888.txt,1,26,82.82,50.00,1.00,25.77,13.00,19.23,57.69,38.46,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,7.69,11.54,0.00,3.85,0.00,15.38,0.00,0.00,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,11.54,0.00,0.00,7.69,7.69,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,7.69,0.00,7.69,0.00,7.69,0.00,3.85,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,38.46,19.23,7.69,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,7.69
1039032317765984257.txt,1,26,24.14,64.99,1.00,89.84,26.00,15.38,69.23,34.62,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,7.69,11.54,7.69,3.85,11.54,7.69,0.00,3.85,0.00,0.00,11.54,7.69,3.85,3.85,0.00,0.00,11.54,0.00,0.00,0.00,0.00,11.54,0.00,7.69,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,3.85,0.00,7.69,0.00,0.00,0.00,11.54,0.00,3.85,0.00,3.85,0.00,3.85,3.85,0.00,11.54,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,30.77,7.69,3.85,0.00,0.00,0.00,0.00,7.69,0.00,3.85,0.00,7.69
1039047234095132672.txt,1,23,96.43,98.44,1.00,1.00,11.50,21.74,47.83,21.74,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,13.04,4.35,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,4.35,0.00,17.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,34.78,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74
1039145980946341889.txt,1,20,66.46,30.86,3.37,96.76,10.00,35.00,40.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,35.00,15.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,10.00
1039206976117342208.txt,1,28,99.00,50.00,1.06,25.77,9.33,21.43,60.71,35.71,3.57,0.00,0.00,0.00,0.00,0.00,0.00,3.57,14.29,14.29,3.57,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,3.57,0.00,0.00,7.14,0.00,7.14,0.00,3.57,3.57,0.00,0.00,3.57,3.57,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,25.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,7.14
