Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1035977879618768897.txt,1,23,99.00,80.77,54.89,93.61,23.00,13.04,52.17,26.09,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,21.74,0.00,0.00,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,4.35,0.00,4.35,0.00,4.35,0.00,0.00,21.74,0.00,13.04,8.70,0.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,30.43,8.70,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70
1036086014559899648.txt,1,23,93.26,95.89,1.00,93.61,11.50,30.43,52.17,26.09,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,8.70,4.35,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,17.39,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74,13.04,8.70,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,30.43,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39
1036169491732996097.txt,1,24,98.14,66.17,23.51,25.77,8.00,33.33,54.17,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,4.17,0.00,0.00,0.00,8.33,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,12.50,4.17,8.33,0.00,8.33,0.00,4.17,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,33.33,16.67,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50
1036201027932803073.txt,1,19,99.00,50.00,50.35,25.77,19.00,26.32,47.37,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,21.05,0.00,5.26,0.00,0.00,0.00,10.53,0.00,5.26,0.00,5.26,0.00,0.00,0.00,52.63,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,26.32
1036203528077942785.txt,1,23,96.43,50.00,9.25,25.77,11.50,26.09,56.52,21.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,8.70,0.00,4.35,0.00,0.00,0.00,0.00,0.00,8.70,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,8.70,0.00,0.00,4.35,0.00,0.00,13.04,4.35,8.70,0.00,0.00,0.00,0.00,0.00,17.39,0.00,4.35,0.00,4.35,0.00,0.00,0.00,26.09,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04
1036213513952194561.txt,1,24,88.46,89.42,7.84,25.77,24.00,25.00,58.33,25.00,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,0.00,12.50,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,0.00,12.50,0.00,12.50,0.00,4.17,0.00,0.00,4.17,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,29.17,8.33,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,12.50
1036223420063571968.txt,1,13,97.95,50.00,17.46,25.77,6.50,30.77,46.15,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,15.38,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,30.77,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,15.38
1036227639340609536.txt,1,17,99.00,88.03,66.34,98.87,17.00,23.53,64.71,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,11.76,5.88,5.88,0.00,0.00,0.00,11.76,0.00,23.53,5.88,17.65,0.00,17.65,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,17.65,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76
1036232548144148481.txt,1,26,97.95,50.00,17.46,25.77,13.00,23.08,42.31,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,3.85,3.85,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,11.54,0.00,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,26.92,11.54,0.00,3.85,0.00,0.00,0.00,0.00,0.00,3.85,0.00,7.69
1036233703087722496.txt,1,12,99.00,50.00,1.79,99.00,6.00,0.00,41.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,33.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,16.67
